City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
121,manta,12,RO,1525555893,79,45.1,24.1,62.45,3.09
122,aasiaat,8,GL,1525555894,100,68.71,-52.87,20.06,5.32
123,igarka,64,RU,1525555894,83,67.47,86.57,17.54,14.56
124,carnarvon,0,ZA,1525555894,44,-30.97,22.13,44.99,2.86
125,luderitz,0,NA,1525555894,72,-26.65,15.16,66.77,7.11
126,kapuskasing,40,CA,1525550400,43,49.42,-82.43,51.8,13.87
127,iskateley,44,RU,1525555895,78,67.68,53.15,24.38,11.59
128,viedma,0,AR,1525555895,44,-40.81,-62.99,61.37,9.08
129,pascagoula,90,US,1525553760,88,30.37,-88.56,78.8,4.7
130,ratnagiri,36,IN,1525555896,100,16.98,73.3,81.44,9.08
131,iberia,0,PE,1525555896,72,-11.41,-69.49,84.68,1.86
132,callaway,1,US,1525554900,23,46.98,-95.91,78.8,4.21
133,plouzane,0,FR,1525554000,81,48.38,-4.62,55.4,9.17
134,la palma,48,CO,1525555898,81,5.36,-74.39,74.96,1.36
135,verkhnevilyuysk,64,RU,1525555898,68,63.45,120.31,30.5,2.53
136,fare,12,PF,1525555898,100,-16.7,-151.02,81.17,6.29
137,prince rupert,90,CA,1525554000,71,54.32,-130.32,57.2,6.93
138,vila velha,75,BR,1525554000,74,-3.71,-38.6,82.4,8.05
139,makakilo city,40,US,1525553820,74,21.35,-158.09,80.6,8.05
140,wenatchee,40,US,1525553700,42,47.42,-120.31,71.6,2.26
141,kieta,80,PG,1525555899,100,-6.22,155.63,78.74,3.98
142,zapolyarnyy,0,RU,1525553400,80,69.43,30.82,35.6,8.05
143,port lincoln,0,AU,1525555900,100,-34.72,135.86,52.55,6.85
144,kolpashevo,68,RU,1525555900,72,58.31,82.9,27.08,8.86
145,severo-kurilsk,92,RU,1525555900,100,50.68,156.12,33.92,12.55
146,carinhanha,76,BR,1525555901,51,-14.3,-43.77,83.06,9.42
147,castro,80,CL,1525555901,80,-42.48,-73.76,50.84,2.86
148,timizart,56,DZ,1525555901,98,36.8,4.25,51.92,1.86
149,qaanaaq,76,GL,1525555791,89,77.48,-69.36,9.17,5.39
150,mahebourg,40,MU,1525554000,73,-20.41,57.7,73.4,6.93
151,te anau,32,NZ,1525555902,88,-45.41,167.72,46.07,11.43
152,saldanha,0,PT,1525555902,58,41.42,-6.55,61.19,7.4
153,kanashevo,0,RU,1525554000,74,55.21,62.07,32.0,4.47
154,port moresby,88,PG,1525555903,100,-9.47,147.16,78.74,17.18
155,majene,0,ID,1525555903,99,-3.54,118.97,82.97,6.62
156,ippy,32,CF,1525555903,69,6.26,21.2,78.47,8.01
157,uaua,0,BR,1525555903,54,-9.84,-39.48,80.81,12.33
158,san cristobal,40,EC,1525554000,77,-0.39,-78.55,60.8,14.99
159,paamiut,44,GL,1525555904,99,61.99,-49.67,32.39,12.37
160,alice springs,0,AU,1525554000,55,-23.7,133.88,39.2,5.82
161,chuy,80,UY,1525555904,85,-33.69,-53.46,68.75,14.83
162,bolgar,20,RU,1525554000,90,54.97,49.03,44.6,10.54
163,atuona,92,PF,1525555905,100,-9.8,-139.03,80.72,10.36
164,poum,48,MK,1525555905,98,41.28,20.71,51.47,1.36
165,port elizabeth,75,US,1525553760,40,39.31,-74.98,71.6,6.93
166,georgetown,40,GY,1525554000,74,6.8,-58.16,82.4,13.87
167,san patricio,92,PY,1525555906,61,-26.98,-56.83,79.37,3.49
168,abu road,0,IN,1525555907,44,24.48,72.78,72.98,3.76
169,vardo,90,US,1525554900,82,39.62,-77.74,66.2,4.7
170,okhotsk,0,RU,1525555907,81,59.36,143.24,34.82,2.3
171,xinzhi,40,TW,1525552440,78,22.54,120.62,77.0,2.24
172,san buenaventura,75,MX,1525552800,57,27.06,-101.55,78.8,9.17
173,ola,0,RU,1525550400,74,59.58,151.3,35.6,2.24
174,buncrana,44,GB,1525555908,76,55.14,-7.45,54.35,8.23
175,beyneu,20,KZ,1525555909,23,45.32,55.19,74.51,18.52
176,acurenam,92,GA,1525555909,99,1.03,10.67,68.03,2.3
177,bonfim,24,GY,1525555909,55,3.36,-59.84,87.65,10.36
178,ostrovnoy,92,RU,1525555909,98,68.05,39.51,34.82,7.63
179,emerald,0,AU,1525555913,77,-23.53,148.16,62.18,7.78
180,presidencia roque saenz pena,76,AR,1525555913,96,-26.79,-60.44,72.89,4.05
181,delijan,0,IR,1525555913,94,33.99,50.69,46.97,2.3
182,weihe,92,CN,1525555914,48,32.99,105.33,52.37,6.4
